"Client","Project","Service Request","Sample","Lab Code","Sample Type","Date Collected","Date Received","Date Extracted","Date Analyzed","Extraction Method","Method","Matrix","Basis","Units","Component","Dilution Factor","Reporting Limit","Detection Limit","Result","Result Notes","Spike Concentration","Percent Recovery","Acceptance Limits","Average","RPD","Retention Time","Regulatory Limit"
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 22-SOLDONTA CREEK","K2405043-012","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Zinc, Total","1","2.0","0.5","1.3","=,J","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 23-SWIFTWATER PARK","K2405043-013","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Calcium, Total","1","20","6","12100","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 23-SWIFTWATER PARK","K2405043-013","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Copper, Total","1","0.10","0.05","0.73","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 23-SWIFTWATER PARK","K2405043-013","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Iron, Total","1","2.0","0.3","401","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 23-SWIFTWATER PARK","K2405043-013","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Magnesium, Total","1","10","2","1560","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 23-SWIFTWATER PARK","K2405043-013","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Zinc, Total","1","2.0","0.5","1.4","=,J","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 30-FUNNY RIVER","K2405043-014","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Calcium, Total","1","20","6","5670","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 30-FUNNY RIVER","K2405043-014","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Copper, Total","1","0.10","0.05","2.06","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 30-FUNNY RIVER","K2405043-014","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Iron, Total","1","2.0","0.3","945","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 30-FUNNY RIVER","K2405043-014","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Magnesium, Total","1","10","2","2220","=","","","","","","",""
